iter	Passed	Remaining
682	803	373
683	805	372
684	806	370
685	807	369
686	808	368
687	809	367
688	811	366
689	812	364
690	813	363
691	814	362
692	815	361
693	816	360
694	817	358
695	819	357
696	820	356
697	821	355
698	822	354
699	823	352
700	824	351
701	825	350
702	826	349
703	827	347
704	828	346
705	829	345
706	830	344
707	832	343
708	833	342
709	834	340
710	835	339
711	836	338
712	837	337
713	839	336
714	840	335
715	841	333
716	842	332
717	843	331
718	844	330
719	845	328
720	846	327
721	847	326
722	848	325
723	849	323
724	850	322
725	851	321
726	852	320
727	853	318
728	854	317
729	855	316
730	856	315
731	857	313
732	858	312
733	859	311
734	860	310
735	861	309
736	862	307
737	863	306
738	864	305
739	865	304
740	866	302
741	867	301
742	868	300
743	869	299
744	870	297
745	871	296
746	872	295
747	873	294
748	874	292
749	875	291
750	876	290
751	877	289
752	878	288
753	879	286
754	880	285
755	881	284
756	882	283
757	883	281
758	884	280
759	885	279
760	886	278
761	887	277
762	888	275
763	889	274
764	890	273
765	891	272
766	892	271
767	893	269
768	894	268
769	895	267
770	896	266
771	897	265
772	898	263
773	899	262
774	900	261
775	901	260
776	902	258
777	903	257
778	903	256
779	904	255
780	906	254
781	907	252
782	908	251
783	909	250
784	910	249
785	911	248
786	912	246
787	913	245
788	914	244
789	915	243
790	916	242
791	917	240
792	918	239
793	918	238
794	919	237
795	920	236
796	921	234
797	923	233
798	924	232
799	925	231
800	926	230
801	927	228
802	928	227
803	929	226
804	930	225
805	931	224
806	932	222
807	933	221
808	934	220
809	935	219
810	936	218
811	937	216
812	938	215
813	939	214
814	940	213
815	941	212
816	942	211
817	943	209
818	944	208
819	945	207
820	946	206
821	947	205
822	948	203
823	949	202
824	950	201
825	951	200
826	952	199
827	953	198
828	954	196
829	955	195
830	956	194
831	957	193
832	958	192
833	959	190
834	960	189
835	961	188
836	962	187
837	963	186
838	964	185
839	965	183
840	966	182
841	967	181
842	968	180
843	969	179
844	970	178
845	971	176
846	972	175
847	973	174
848	974	173
849	975	172
850	976	171
851	977	169
852	978	168
853	979	167
854	980	166
855	981	165
856	982	163
857	984	162
858	985	161
859	986	160
860	987	159
861	987	158
862	988	156
863	990	155
864	991	154
865	991	153
866	992	152
867	993	151
868	994	149
869	996	148
870	997	147
871	998	146
872	999	145
873	1000	144
874	1001	143
875	1002	141
876	1003	140
877	1004	139
878	1005	138
879	1006	137
880	1007	136
881	1007	134
882	1008	133
883	1009	132
884	1010	131
885	1011	130
886	1012	129
887	1014	127
888	1015	126
889	1016	125
890	1017	124
891	1018	123
892	1019	122
893	1020	120
894	1021	119
895	1022	118
896	1023	117
897	1023	116
898	1025	115
899	1026	114
900	1027	112
901	1028	111
902	1029	110
903	1030	109
904	1031	108
905	1032	107
906	1033	105
907	1034	104
908	1035	103
909	1036	102
910	1037	101
911	1038	100
912	1039	99
913	1040	97
914	1041	96
915	1042	95
916	1043	94
917	1044	93
918	1045	92
919	1046	90
920	1047	89
921	1048	88
922	1049	87
923	1050	86
924	1051	85
925	1052	84
926	1053	82
927	1054	81
928	1055	80
929	1056	79
930	1057	78
931	1058	77
932	1059	76
933	1060	74
934	1061	73
935	1062	72
936	1063	71
937	1064	70
938	1065	69
939	1066	68
940	1067	66
941	1068	65
942	1069	64
943	1070	63
944	1071	62
945	1072	61
946	1073	60
947	1075	58
948	1076	57
949	1077	56
950	1078	55
951	1079	54
952	1080	53
953	1081	52
954	1082	50
955	1083	49
956	1084	48
957	1085	47
958	1086	46
959	1087	45
960	1088	44
961	1089	43
962	1090	41
963	1091	40
964	1092	39
965	1093	38
966	1094	37
967	1095	36
968	1096	35
969	1097	33
970	1098	32
971	1099	31
972	1100	30
973	1101	29
974	1102	28
975	1103	27
976	1104	26
977	1105	24
978	1106	23
979	1107	22
980	1108	21
981	1109	20
982	1110	19
983	1111	18
